Freq [GHz],"dB(S(1,1))","dB(S(2,2))","dB(S(3,3))","dB(S(4,4))"
1,-3.85620465,-3.537910528,-3.0637868,-3.698415759
1.01,-3.891439004,-3.570637127,-3.092276376,-3.731030272
1.02,-3.926705241,-3.603362394,-3.120824647,-3.763691538
1.03,-3.961997193,-3.636085516,-3.149430873,-3.796395393
1.04,-3.997308823,-3.668805716,-3.178094383,-3.829137774
1.05,-4.032634239,-3.701522256,-3.206814584,-3.861914714
1.06,-4.067967686,-3.734234431,-3.235590963,-3.894722348
1.07,-4.103303556,-3.766941572,-3.264423087,-3.927556913
1.08,-4.138636385,-3.799643043,-3.293310612,-3.960414749
1.09,-4.173960861,-3.832338242,-3.322253285,-3.9932923
1.1,-4.209271818,-3.865026596,-3.351250943,-4.026186116
1.11,-4.244564245,-3.897707565,-3.380303523,-4.059092856
1.12,-4.279833285,-3.930380639,-3.409411059,-4.092009286
1.13,-4.315074235,-3.963045336,-3.438573691,-4.124932282
1.14,-4.350282551,-3.995701205,-3.467791661,-4.157858832
1.15,-4.385453846,-4.02834782,-3.497065323,-4.190786036
1.16,-4.420583896,-4.060984786,-3.526395141,-4.223711106
1.17,-4.455668635,-4.093611732,-3.555781693,-4.256631374
1.18,-4.490704161,-4.126228313,-3.585225675,-4.289544282
1.19,-4.525686736,-4.158834213,-3.614727903,-4.322447393
1.2,-4.560612786,-4.191429137,-3.644289313,-4.355338389
1.21,-4.595478903,-4.224012817,-3.673910971,-4.388215071
1.22,-4.630281846,-4.25658501,-3.703594064,-4.421075359
1.23,-4.66501854,-4.289145494,-3.733339915,-4.453917299
1.24,-4.69968608,-4.321694072,-3.763149976,-4.486739059
1.25,-4.73428173,-4.354230571,-3.793025834,-4.519538929
1.26,-4.768802922,-4.386754837,-3.822969216,-4.55231533
1.27,-4.803247261,-4.419266743,-3.852981985,-4.585066806
1.28,-4.837612521,-4.451766178,-3.883066149,-4.617792031
1.29,-4.87189665,-4.484253058,-3.913223859,-4.650489808
1.3,-4.906097767,-4.516727317,-3.943457413,-4.683159069
1.31,-4.940214165,-4.549188911,-3.973769256,-4.715798881
1.32,-4.974244309,-4.581637815,-4.004161988,-4.748408441
1.33,-5.008186841,-4.614074026,-4.034638358,-4.780987081
1.34,-5.042040575,-4.646497561,-4.065201273,-4.813534268
1.35,-5.075804504,-4.678908456,-4.095853797,-4.846049607
1.36,-5.109477792,-4.711306768,-4.126599154,-4.878532838
1.37,-5.143059785,-4.743692571,-4.15744073,-4.91098384
1.38,-5.176550002,-4.776065961,-4.188382075,-4.943402633
1.39,-5.209948142,-4.808427052,-4.219426903,-4.975789377
1.4,-5.24325408,-4.840775977,-4.2505791,-5.008144374
1.41,-5.276467872,-4.873112887,-4.281842719,-5.040468068
1.42,-5.309589754,-4.905437953,-4.313221987,-5.072761049
1.43,-5.342620138,-4.937751364,-4.344721303,-5.105024052
1.44,-5.375559621,-4.970053327,-4.376345246,-5.137257955
1.45,-5.408408978,-5.002344069,-4.408098568,-5.169463788
1.46,-5.441169169,-5.034623835,-4.439986206,-5.201642725
1.47,-5.473841333,-5.066892885,-4.472013275,-5.233796093
1.48,-5.506426796,-5.099151503,-4.504185077,-5.265925366
1.49,-5.538927064,-5.131399987,-4.536507096,-5.298032171
1.5,-5.57134383,-5.163638654,-4.568985007,-5.330118287
1.51,-5.603678972,-5.19586784,-4.601624672,-5.362185645
1.52,-5.635934552,-5.2280879,-4.634432144,-5.394236332
1.53,-5.668112822,-5.260299204,-4.667413669,-5.426272588
1.54,-5.700216219,-5.292502145,-4.700575688,-5.458296809
1.55,-5.732247369,-5.32469713,-4.733924835,-5.490311548
1.56,-5.764209086,-5.356884588,-4.767467943,-5.522319513
1.57,-5.796104376,-5.389064962,-4.801212046,-5.554323573
1.58,-5.827936433,-5.421238718,-4.835164374,-5.586326754
1.59,-5.859708644,-5.453406339,-4.869332362,-5.61833224
1.6,-5.891424587,-5.485568325,-4.903723646,-5.650343376
1.61,-5.923088034,-5.517725196,-4.938346067,-5.682363668
1.62,-5.954702949,-5.549877492,-4.973207672,-5.714396779
1.63,-5.986273493,-5.58202577,-5.008316712,-5.746446537
1.64,-6.017804019,-5.614170607,-5.043681648,-5.77851693
1.65,-6.049299079,-5.6463126,-5.079311149,-5.810612106
1.66,-6.080763421,-5.678452362,-5.115214094,-5.842736378
1.67,-6.112201988,-5.71059053,-5.15139957,-5.874894217
1.68,-6.143619924,-5.742727756,-5.187876877,-5.907090258
1.69,-6.175022571,-5.774864715,-5.224655525,-5.9393293
1.7,-6.206415471,-5.8070021,-5.261745238,-5.9716163
1.71,-6.237804364,-5.839140623,-5.29915595,-6.003956378
1.72,-6.269195193,-5.871281019,-5.336897811,-6.036354815
1.73,-6.300594101,-5.903424039,-5.374981181,-6.068817055
1.74,-6.332007433,-5.935570457,-5.413416634,-6.1013487
1.75,-6.363441735,-5.967721066,-5.452214958,-6.133955511
1.76,-6.394903757,-5.99987668,-5.491387154,-6.166643411
1.77,-6.42640045,-6.032038131,-5.530944434,-6.199418478
1.78,-6.457938969,-6.064206274,-5.570898225,-6.23228695
1.79,-6.489526672,-6.096381983,-5.611260164,-6.26525522
1.8,-6.521171117,-6.128566152,-5.6520421,-6.298329835
1.81,-6.552880069,-6.160759695,-5.693256093,-6.331517496
1.82,-6.584661493,-6.192963549,-5.734914412,-6.364825058
1.83,-6.616523557,-6.225178667,-5.777029536,-6.398259524
1.84,-6.64847463,-6.257406024,-5.81961415,-6.431828046
1.85,-6.680523283,-6.289646616,-5.862681147,-6.465537925
1.86,-6.712678287,-6.321901456,-5.906243624,-6.499396604
1.87,-6.744948614,-6.354171578,-5.950314884,-6.53341167
1.88,-6.777343433,-6.386458035,-5.994908429,-6.56759085
1.89,-6.809872112,-6.418761898,-6.040037964,-6.601942008
1.9,-6.842544214,-6.451084258,-6.085717391,-6.636473142
1.91,-6.875369496,-6.483426222,-6.131960809,-6.671192384
1.92,-6.908357911,-6.515788915,-6.178782512,-6.706107991
1.93,-6.941519599,-6.54817348,-6.226196987,-6.741228349
1.94,-6.974864893,-6.580581074,-6.27421891,-6.776561962
1.95,-7.008404309,-6.613012872,-6.322863147,-6.812117455
