Freq [GHz],S12_Simulated,S12_Measured,S13_Simulated,S13_Measured,S14_Simulated,S14_Measured
1,-30.22987,-31.18391,-32.29528,-27.41267,-31.63476,-29.76706
1.01,-30.15974,-31.18336,-32.17401,-27.37384,-31.63626,-29.76293
1.02,-30.09015,-31.18336,-32.05298,-27.33555,-31.63927,-29.75946
1.03,-30.02109,-31.18391,-31.93221,-27.29781,-31.64377,-29.75664
1.04,-29.95256,-31.18498,-31.8117,-27.26059,-31.64974,-29.75445
1.05,-29.88458,-31.18656,-31.69144,-27.22388,-31.65717,-29.75289
1.06,-29.81713,-31.18863,-31.57144,-27.18768,-31.66604,-29.75193
1.07,-29.75023,-31.19117,-31.4517,-27.15197,-31.67633,-29.75158
1.08,-29.68388,-31.19418,-31.33222,-27.11674,-31.68803,-29.75183
1.09,-29.61808,-31.19762,-31.21301,-27.08198,-31.70112,-29.75265
1.1,-29.55283,-31.20149,-31.09405,-27.04768,-31.71559,-29.75404
1.11,-29.48813,-31.20576,-30.97537,-27.01383,-31.7314,-29.75599
1.12,-29.42398,-31.21043,-30.85695,-26.98041,-31.74856,-29.7585
1.13,-29.36039,-31.21548,-30.73879,-26.94743,-31.76702,-29.76154
1.14,-29.29736,-31.22088,-30.62091,-26.91486,-31.78678,-29.76512
1.15,-29.23489,-31.22664,-30.5033,-26.8827,-31.80781,-29.76922
1.16,-29.17297,-31.23272,-30.38596,-26.85093,-31.83009,-29.77383
1.17,-29.11161,-31.23912,-30.26889,-26.81956,-31.85359,-29.77895
1.18,-29.05082,-31.24582,-30.1521,-26.78857,-31.87829,-29.78456
1.19,-28.99058,-31.25281,-30.03559,-26.75795,-31.90415,-29.79066
1.2,-28.93091,-31.26007,-29.91936,-26.72769,-31.93115,-29.79724
1.21,-28.8718,-31.26759,-29.8034,-26.69778,-31.95927,-29.80428
1.22,-28.81325,-31.27535,-29.68773,-26.66821,-31.98845,-29.8118
1.23,-28.75526,-31.28336,-29.57234,-26.63898,-32.01868,-29.81976
1.24,-28.69784,-31.29158,-29.45724,-26.61008,-32.04991,-29.82817
1.25,-28.64097,-31.30001,-29.34242,-26.5815,-32.08211,-29.83702
1.26,-28.58467,-31.30863,-29.22789,-26.55323,-32.11522,-29.8463
1.27,-28.52893,-31.31745,-29.11366,-26.52526,-32.14922,-29.85601
1.28,-28.47375,-31.32643,-28.99971,-26.49758,-32.18404,-29.86613
1.29,-28.41913,-31.33558,-28.88606,-26.47019,-32.21965,-29.87666
1.3,-28.36508,-31.34487,-28.77271,-26.44308,-32.25598,-29.88759
1.31,-28.31158,-31.35431,-28.65966,-26.41624,-32.29297,-29.89892
1.32,-28.25864,-31.36388,-28.5469,-26.38967,-32.33058,-29.91064
1.33,-28.20626,-31.37357,-28.43445,-26.36336,-32.36872,-29.92274
1.34,-28.15444,-31.38336,-28.32231,-26.33729,-32.40734,-29.93522
1.35,-28.10318,-31.39326,-28.21047,-26.31147,-32.44635,-29.94806
1.36,-28.05248,-31.40325,-28.09894,-26.28589,-32.48568,-29.96127
1.37,-28.00233,-31.41331,-27.98772,-26.26053,-32.52524,-29.97484
1.38,-27.95274,-31.42345,-27.87682,-26.2354,-32.56495,-29.98875
1.39,-27.9037,-31.43365,-27.76624,-26.21048,-32.60472,-30.00301
1.4,-27.85522,-31.44391,-27.65598,-26.18578,-32.64443,-30.01761
