Freq [GHz],S12,S13,S14,S23,S24,S34
1,-30.22987,-32.29528,-31.63476,-31.5826,-31.19089,-33.2009
1.01,-30.15974,-32.17401,-31.63626,-31.51895,-31.13899,-33.07241
1.02,-30.09015,-32.05298,-31.63927,-31.45576,-31.08821,-32.94364
1.03,-30.02109,-31.93221,-31.64377,-31.39303,-31.03854,-32.81464
1.04,-29.95256,-31.8117,-31.64974,-31.33076,-30.98997,-32.68543
1.05,-29.88458,-31.69144,-31.65717,-31.26894,-30.94247,-32.55605
1.06,-29.81713,-31.57144,-31.66604,-31.20759,-30.89604,-32.42652
1.07,-29.75023,-31.4517,-31.67633,-31.1467,-30.85066,-32.29688
1.08,-29.68388,-31.33222,-31.68803,-31.08627,-30.80632,-32.16714
1.09,-29.61808,-31.21301,-31.70112,-31.0263,-30.76299,-32.03734
1.1,-29.55283,-31.09405,-31.71559,-30.96681,-30.72068,-31.9075
1.11,-29.48813,-30.97537,-31.7314,-30.90778,-30.67936,-31.77765
1.12,-29.42398,-30.85695,-31.74856,-30.84922,-30.63902,-31.64781
1.13,-29.36039,-30.73879,-31.76702,-30.79113,-30.59965,-31.518
1.14,-29.29736,-30.62091,-31.78678,-30.73352,-30.56123,-31.38825
1.15,-29.23489,-30.5033,-31.80781,-30.67639,-30.52376,-31.25857
1.16,-29.17297,-30.38596,-31.83009,-30.61973,-30.48722,-31.129
1.17,-29.11161,-30.26889,-31.85359,-30.56356,-30.4516,-30.99954
1.18,-29.05082,-30.1521,-31.87829,-30.50787,-30.41689,-30.87023
1.19,-28.99058,-30.03559,-31.90415,-30.45267,-30.38306,-30.74107
1.2,-28.93091,-29.91936,-31.93115,-30.39796,-30.35012,-30.61208
1.21,-28.8718,-29.8034,-31.95927,-30.34374,-30.31805,-30.48329
1.22,-28.81325,-29.68773,-31.98845,-30.29002,-30.28684,-30.35471
1.23,-28.75526,-29.57234,-32.01868,-30.2368,-30.25647,-30.22635
1.24,-28.69784,-29.45724,-32.04991,-30.18409,-30.22694,-30.09823
1.25,-28.64097,-29.34242,-32.08211,-30.13187,-30.19822,-29.97036
1.26,-28.58467,-29.22789,-32.11522,-30.08018,-30.17032,-29.84276
1.27,-28.52893,-29.11366,-32.14922,-30.02899,-30.14321,-29.71545
1.28,-28.47375,-28.99971,-32.18404,-29.97833,-30.11688,-29.58842
1.29,-28.41913,-28.88606,-32.21965,-29.92819,-30.09133,-29.4617
1.3,-28.36508,-28.77271,-32.25598,-29.87857,-30.06653,-29.3353
1.31,-28.31158,-28.65966,-32.29297,-29.82949,-30.04249,-29.20922
1.32,-28.25864,-28.5469,-32.33058,-29.78095,-30.01917,-29.08349
1.33,-28.20626,-28.43445,-32.36872,-29.73295,-29.99658,-28.9581
1.34,-28.15444,-28.32231,-32.40734,-29.6855,-29.97469,-28.83306
1.35,-28.10318,-28.21047,-32.44635,-29.6386,-29.9535,-28.7084
1.36,-28.05248,-28.09894,-32.48568,-29.59226,-29.93299,-28.58411
1.37,-28.00233,-27.98772,-32.52524,-29.54649,-29.91315,-28.4602
1.38,-27.95274,-27.87682,-32.56495,-29.50129,-29.89395,-28.33668
1.39,-27.9037,-27.76624,-32.60472,-29.45666,-29.8754,-28.21357
1.4,-27.85522,-27.65598,-32.64443,-29.41262,-29.85747,-28.09085
